Date,Only_load_price,optimized_price,load_value,avg_price,avg_price_cvx,per_day_price
28-10-2021,168.3793625918716,161.37222795993486,2,-7.007134631936729,168.38134930698098,84.1896812959358
29-10-2021,108.26439215903414,105.64404087612444,1,-2.6203512829097093,107.91882917978471,108.26439215903414
30-10-2021,94.98602981045383,88.56960672408431,1,-6.416423086369519,94.862525543498,94.98602981045383
31-10-2021,171.2220261945797,167.4868571526307,2,-3.735169041949015,171.29633223893146,85.61101309728986
01-11-2021,174.61532487151908,169.27745087178315,2,-5.337873999735927,174.6554059971314,87.30766243575954
02-11-2021,97.65924975722504,91.90714315698179,1,-5.752106600243253,97.45944426796605,97.65924975722504
03-11-2021,89.31100553994688,84.71427909996339,1,-4.596726439983478,89.22789615426012,89.31100553994688
04-11-2021,146.2147607560708,143.32160464876551,2,-2.893156107305299,146.44676591052874,73.1073803780354
05-11-2021,76.98944787832784,73.07281044356277,1,-3.916637434765068,77.18689971786927,76.98944787832784
06-11-2021,177.6989822395373,172.82000915949553,2,-4.878973080041754,177.70091796063414,88.84949111976864
07-11-2021,86.22257352914345,82.3116283884851,1,-3.9109451406583453,86.27164557631347,86.22257352914345
08-11-2021,374.54670974871976,348.33104842502524,3,-26.21566132369454,372.80188115438517,124.84890324957325
09-11-2021,217.35098042157531,212.38426581252074,2,-4.9667146090545655,216.86180326719813,108.67549021078766
10-11-2021,297.32282598576023,295.5741099991923,3,-1.7487159865679651,297.14016269498984,99.10760866192007
11-11-2021,106.16318778604702,101.88592415923829,1,-4.277263626808729,105.7870508833177,106.16318778604702
12-11-2021,285.6779430317809,281.4720264276038,3,-4.205916604177109,285.59749473654944,95.22598101059363
13-11-2021,183.53283069347842,176.00678919130073,2,-7.526041502177682,183.35967708563612,91.76641534673921
14-11-2021,277.4556738621713,273.4691794416596,3,-3.986494420511694,277.3954285969873,92.48522462072377
15-11-2021,91.05360809003483,86.9685011619047,1,-4.085106928130135,90.98793320269058,91.05360809003483
16-11-2021,108.58626992917155,103.43352153700796,1,-5.1527483921635895,108.17983985082948,108.58626992917155
17-11-2021,353.2353549131799,339.16114868493935,3,-14.07420622824057,351.7593613178899,117.7451183043933
18-11-2021,100.09119482706997,97.28267757941525,1,-2.8085172476547253,99.84801841460119,100.09119482706997
19-11-2021,202.77210221878516,197.23388779459077,2,-5.5382144241943925,202.55609304566042,101.38605110939258
20-11-2021,262.4560981904803,253.6188799713521,3,-8.837218219128204,262.38439003169304,87.48536606349343
21-11-2021,284.66379802173117,279.2467779897323,3,-5.417020031998842,284.5076732779938,94.8879326739104
22-11-2021,106.51420805917145,100.74398920059966,1,-5.770218858571792,106.08507900464872,106.51420805917145
23-11-2021,196.5502355385478,189.77618745773069,2,-6.774048080817112,196.26499506553046,98.2751177692739
24-11-2021,196.960827985161,191.1828113276384,2,-5.778016657522594,196.76957298118197,98.4804139925805
25-11-2021,335.40559768921065,319.4478308526552,3,-15.957766836555443,334.4762383036953,111.80186589640356
26-11-2021,112.04710713699411,101.40793107917078,1,-10.639176057823335,111.11309694272451,112.04710713699411
27-11-2021,320.7847035649706,312.55730467318017,3,-8.22739889179043,320.12767413154535,106.92823452165686
